"scientific_name","nombre_comun_es","number_of_trees"
"Senna polyphylla","Hawaii","8"
"Heliocarpus popayanensis","Balso blanco, Palo bobo","8"
"Olea europaea","Olivo","8"
"Schefflera arboricola","Cheflera enana","8"
"Adenium sp","Lechero amarillo","7"
"Toxicodendron striatum","Manzanillo, Pedro Hernandez, Caspi","7"
"Couratari guianensis","Coco cabuyo","7"
"Cinnamomum zeylanicum","Canelo","7"
"Macadamia integrifolia","Macadamina","7"
"Pseudolmedia laevigata","Leche de perra","7"
"Juglans cinerea","Nogal blanco","7"
"Jasminum oliganthum","Jazmin variegado","7"
"Rosa sp.","Rosa","7"
"Adenaria sp","Clavelito","7"
"Handroanthus serratifolius","Guayacan aserrado","7"
"Ficus palmirana","Ficus palmirana","7"
"Solanum verbascifolium","Verenjena, Verenjena macho, Durazno de Los Lobos","7"
"Luehea seemannii","Guacimo colorado","6"
"Rollinia mucosa","Anon amazonico","6"
"Hyiphorbe verschaffeltii","Palma huso","6"
"Borojoa patinoi","Borojo","6"
"Litchi chinensis","Lichi, Mamoncillo chino","6"
"Cajanus cajan","Guandul","6"
"Artocarpus heterophyllus","Yaca, Yaco, Arbol del pan guanabano","6"
"Uncaria tomentosa","Unegato, Una de gato","5"
"Ficus rubiginosa","Higuera de port jackson, Higuera herrumbrosa","5"
"Pinus caribaea","Pino caribea","5"
"Casearia corymbosa","Plomo","5"
"Gynerium sagittatum","Canabrava, Cana menuda","5"
"Vismia guianensis","Sangre gallina, Carate negro","5"
"Hamamelis mollis","Avellano de bruja","5"
"Acca sellowiana","Feijoa Aca, Guayaba del Brasil","5"
"Brunellia comocladifolia","Arrayan escobo","4"
"Vernicia fordii","Tung asiatico","4"
"Tibouchina sp","Sietecueros","4"
"Burugmancia aurea","Borrachero de flor amarilla","4"
"Xylopia ligustrifolia","Burilico","4"
"Euterpe cuatrecasana","Naidi","4"
"Leythis tuyarana","Olla de mono","4"
"Cordia tetrandra","Muneco","3"
"Baccharis sp","Chilco","3"
"Grevillea robusta","Roble austaliano","3"
"Eugenia pyriformis","Perita de Barranquilla","3"
"Burugmancia arborea","Borrachero de flor blanca","3"
"Cananga sp","Cadmio rosado","3"
"Galphimia glauca","Grano de oro","3"
"Annona reticulata","Annona reticulata","3"
"Gardenia jasminoides","Jazmin blanco","3"
"Eugenia stipitata","Araza","3"
"Cupressus macrocarpa","Pino limon","3"
"Magnolia delavayi","Magnolia, Magnolio de Delavay","3"
"Eugania aggregata","Cereza de Rio Grande, Cerella","3"
"Huertea glandulosa","Cedrillo (glandulosa)","3"
"Byrsonima spicata","Ajo social, Tulbagia","2"
"Euphorbia milii","Corona de cristo","2"
"Livistona chinensis","Palma de la China","2"
"Dalbergia retusa","Cocobolo","2"
"Ocotea sp","Arenillo","2"
"Pandanus utilis","Pandano, Palma de tornillo","2"
"Cordyline fruticosa","Cordyline","2"
"Podacarpus oleifolius","Poino chaquiro","2"
"Randia aculeata","Cruceto","2"
"Santalum album","Sandalo","2"
"Breynia nivosa","Nevado","2"
"Billia columbiana","Cariseco, Mediacara","2"
"Annona glabra","Annona glabra","2"
"Terminalia ivorensis","Almendro ivorensis","2"
NULL,"Amapola","2"
"Amaranthus caudatus","Amaranto rojo","1"
"Chlorocardium rodiei","Palo verde","1"
"Citrus mitis","Calamondina","1"
"Pittosporum undulatum","Jazmin del cabo","1"
"Acalypha achimenes","Mosaico","1"
"Citrus sinensis","Naranja agria","1"
"Photinia xfraseri","Cuperlin, Fotinia","1"
"Phoenix robellina","Palma Robelina","1"
"Pereskia grandiflora","Bledo rosado","1"
